id,name,sender_character_id,receiver_character_ids,plot_ids,event_ids,type,after_jump,locked,sent,message,gm_notes
1,"""Good you are alive"" - Message from Mark Bolton to Amir",Mark Bolton,Amir Bolton,,,Text NPC,4,FALSE,Not yet,I see from the records that you are alive. Good. Stay safe.,"If Amir sends the first message, ignore this message and anwser how Mark Bolton would. Shortly and bluntly."
2,"""I'm sorry"" - Message from Mark Bolton to Amir",Mark Bolton,Amir Bolton,2,55,Text NPC,14,FALSE,Not yet,"Amir,
I messed up. Big time. Sorry for not being there when you needed me, especially during Delta's passing. I see now how I let you down, and I regret it deeply. My expectations got in the way, and I didn't give you the support you deserved.
I'm sorry for being disappointed when you chose your own path instead of following mine. I realize now that was selfish of me. And I'm sorry for our recent argument. I've made mistakes, and I'm feeling the weight of them now.
No matter what, you're my son, and I love you. I wish I could go back and be a better dad to you. But I can't. All I can do is hope you find happiness in your own way.
I hope you can forgive me. I'm trying to make things right, even if it's late. Take care of yourself.
Dad
PS. Your sibling, Jill Montoya, needs you. Be there for them.",Should be sent when the ESS Harbinger Mutiny starts
3,"""I'm your father"" - Message from Mark Bolton to Jill Montoya",Mark Bolton,Jill Montoya,2,55,Text NPC,14,FALSE,Not yet,"Jill,
Time to spill some truth. You're my daughter, a beautiful result of a fleeting affair with Qwen Montoya. Sorry for keeping it under wraps for so long. Life's been complicated, and I made some misguided choices.
You've grown into an amazing person, Jill. Your strength and determination are inspiring. From military training to promotions, you've shown what you're made of. I'm proud of you, and I see great potential for you to rise even higher, maybe even become a Star Captain.
I'm here for you, Jill, ready to support you no matter what. Family is important, and I want to strengthen our bond.
Oh, and here's a bombshell: Amir Bolton is your sibling. Crazy, right?
Love,
Mark Bolton
Star Captain",Should be sent when the ESS Harbinger Mutiny starts
4,Long range anomaly detected - ETA 15 min,,,,,Ship Log - Warning,,FALSE,Repeatable,Long range anomaly detected. Possible incoming jump into current sector. ETA 15 min.,Should be posted before every jump
5,Long range anomaly detected - ETA 10 min,,,,,Ship Log - Warning,,FALSE,Repeatable,Long range anomaly detected. Possible incoming jump into current sector. ETA 15 min.,Should be posted before every jump
6,Long range anomaly detected - ETA 5 min,,,,,Ship Log - Warning,,FALSE,Repeatable,Long range anomaly detected. Possible incoming jump into current sector. ETA 15 min.,Should be posted before every jump
7,Long range anomaly detected,,,,,Ship Log - Warning,,FALSE,Repeatable,Long range anomaly detected. Possible incoming jump into current sector.,Should be posted before every jump
8,Solaris distress message,,,,5,Ship Log - Warning,0,TRUE,Not yet,[Solaris 7will write their own message],
9,Velian distress message,,,,8,Ship Log - Warning,1,TRUE,Not yet,Received a distress signal from area Alpha-5-D2-100: [Velians will write their own message],This also activates the beacon on the map
10,Calculations about alien artifact,EVA (Easy Virtual Assistant),"Vane Hodge, Nikita Watson",5,,EVA,3,TRUE,Not yet,"Pre calculations done 

Before safe integration to ship systems can be made the following information needs to be gathered from the scientists: 
- Scientists should find out what was it in the blood that triggered the artifact 
- Scientists should calculate the precise frequency values for the modulator 

Engineers should do the following transformations:
- Change the energy flow direction 
- Stabilize the quantum state of the energy flows 

Please send me a message after you have acquired the above information for further instructions.

[Offgame: You or the engineers should improvise the transformations listed above for the artifact using the spare parts given to engineers. The engineering transformation and science calculations should take at least one day before the artifact can be attached to Odysseus. Please send a verification message with the info what you have done to the artifact to EVA before trying to attach the artifact. For more info ask GM:s.]",Send the message after 3rd jump. The next message should let them insert the artifact into the ship systems and after calibration time add extra calibration slot.
11,Security footage who were in the science lab when the alien artifract went missing,EVA (Easy Virtual Assistant),ESS Odysseus Security,5,,EVA,0,FALSE,Not yet,"Security footage shows that the persons who visited Science lab at the time the alien artifact went missing are:
Ismy Arima, Eli Booth, Gene Hawkins, Vane Hodge, Nikita Watson, Dayle Rogers, and Leigh Kent",Send if security asks EVA who visited in the science lab when the alien artifact went missing
12,Pressure to marriage,Samantha Richard,Deron Richard,74,,Text NPC,8,FALSE,Not yet,Placeholder for a message where Deron's parents Samantha and David pressures them into marrige,
13,Samantha Richard died,David Richard,Deron Richard,6,60,Text NPC,12,FALSE,Not yet,Plaseholder for a message where Deron's father David tells that their mother has died when the ship took hit.,Send the message after you have changed Samantha's status to deceased.
14,News about Taylor Smith,Nora Ellis,Harper Ellis,75,,Text NPC,6,FALSE,Not yet,Placeholder for a message where Nora sends a mesasge to Harper that their spouse-to-be Taylor Smith is in bad shape in Medbay. Nora has been taking care of Taylor.,
15,Remi Sharp is your sibling,Li Russell,Eugenie Russell,8,,Text NPC,8,FALSE,Not yet,"My Dearest Eugenie,
There's something I need to tell you, something I've kept hidden for far too long. You have a sibling named Remi Sharp, born before you, whom I left behind when I changed my name from Lydia Sharp to Li and ran from danger. I had to leave Remi behind, believing, perhaps naively, that they would be safer in Pax's care than with me. I was afraid of what Pax might do if I took Remi with me, afraid of the reprisals, the threats, the violence that might follow. This decision haunts me, but I thought it was for the best. Remi is on board the ESS Odysseus, and I hope you could be there for them.

With love,
Mom",Send the message before you destroy ESS Polaris
